Niv 1-T (00:05:85)-Jug [usuario]-HP 10-Lap2
Niv 1-T (00:05:85)-Jug [usuario]-HP 10-Lap3
Niv 1-T (01:05:50)-Jug [test]-HP 16-Lap2
Niv 1-T (01:05:50)-Jug [test]-HP 16-Lap3
Niv 1-T (01:02:96)-Jug [test]-HP 12-Lap2
Niv 1-T (01:02:96)-Jug [test]-HP 12-Lap3
Niv 1-T (01:05:16)-Jug [test]-HP 7-Lap2
Niv 1-T (01:05:16)-Jug [test]-HP 7-Lap3
Niv 1-T (01:10:66)-Jug [test]-HP 10-Lap2
Niv 1-T (01:10:66)-Jug [test]-HP 10-Lap3
Niv 1 | T (Tiempo: 01:03:92) | Jug [test] | HP 9 | Lap2
Niv 1 | T (Tiempo: 01:03:92) | Jug [test] | HP 9 | Lap3
Niv 1 | T (Tiempo: 01:13:67) | Jug [test] | HP 1 | Lap2
Niv 1 | T (Tiempo: 01:11:59) | Jug [test] | HP 2 | Lap2
Niv 1 | T (Tiempo: 00:23:48) | Jug [test] | HP 6 | Lap2
Niv 1 | T (Tiempo: 00:23:48) | Jug [test] | HP 6 | Lap3
Niv 1 | T (Tiempo: 01:06:35) | Jug [test] | HP 5 | Lap2
Niv 1 | T (Tiempo: 01:17:22) | Jug [test] | HP 5 | Lap2
Niv 1 | T (Tiempo: 01:09:19) | Jug [test] | HP 3 | Lap2
Niv 1 | T (Tiempo: 01:09:19) | Jug [test] | HP 3 | Lap3
Niv 1 | T (Tiempo: 01:08:26) | Jug [test] | HP 5 | Lap2
Niv 1 | T (Tiempo: 01:08:26) | Jug [test] | HP 5 | Lap3
Niv 1 | T (Tiempo: 01:11:60) | Jug [test] | HP 6 | Lap2
